Time_ms,Lead_I,Lead_II,Lead_III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.00,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.020000,-0.010000,0.000000,0.010000,0.010000,0.000000
8.00,0.004590,0.006120,0.002142,-0.003366,0.001530,0.004284,-0.021224,-0.007858,0.003978,0.015508,0.015202,0.004284
16.00,-0.001316,-0.001754,-0.000614,0.000965,-0.000439,-0.001228,-0.019649,-0.010614,-0.001140,0.008421,0.008509,-0.001228
24.00,-0.003284,-0.004379,-0.001533,0.002409,-0.001095,-0.003065,-0.019124,-0.011533,-0.002846,0.006059,0.006278,-0.003065
32.00,0.003783,0.005044,0.001765,-0.002774,0.001261,0.003531,-0.021009,-0.008235,0.003279,0.014540,0.014288,0.003531
40.00,0.003577,0.004770,0.001669,-0.002623,0.001192,0.003339,-0.020954,-0.008331,0.003100,0.014293,0.014054,0.003339
48.00,-0.002789,-0.003719,-0.001302,0.002045,-0.000930,-0.002603,-0.019256,-0.011302,-0.002417,0.006653,0.006839,-0.002603
56.00,0.000819,0.001092,0.000382,-0.000601,0.000273,0.000765,-0.020218,-0.009618,0.000710,0.010983,0.010928,0.000765
64.00,0.007769,0.010359,0.003626,-0.005698,0.002590,0.007251,-0.022072,-0.006374,0.006734,0.019323,0.018805,0.007251
72.00,0.005398,0.007198,0.002519,-0.003959,0.001799,0.005038,-0.021440,-0.007481,0.004679,0.016478,0.016118,0.005038
80.00,0.006659,0.008878,0.003107,-0.004883,0.002220,0.006215,-0.021776,-0.006893,0.005771,0.017991,0.017547,0.006215
88.00,0.021415,0.028553,0.009994,-0.015704,0.007138,0.019987,-0.025711,-0.000006,0.018560,0.035698,0.034270,0.019987
96.00,0.035007,0.046676,0.016337,-0.025672,0.011669,0.032673,-0.029335,0.006337,0.030339,0.052008,0.049675,0.032673
104.00,0.043944,0.058593,0.020507,-0.032226,0.014648,0.041015,-0.031719,0.010507,0.038085,0.062733,0.059804,0.041015
112.00,0.062730,0.083639,0.029274,-0.046002,0.020910,0.058548,-0.036728,0.019274,0.054366,0.085275,0.081094,0.058548
120.00,0.084878,0.113171,0.039610,-0.062244,0.028293,0.079219,-0.042634,0.029610,0.073561,0.111854,0.106195,0.079219
128.00,0.091235,0.121647,0.042576,-0.066906,0.030412,0.085153,-0.044329,0.032576,0.079071,0.119482,0.113400,0.085153
136.00,0.087860,0.117147,0.041002,-0.064431,0.029287,0.082003,-0.043429,0.031002,0.076146,0.115433,0.109575,0.082003
144.00,0.086317,0.115089,0.040281,-0.063299,0.028772,0.080562,-0.043018,0.030281,0.074808,0.113580,0.107825,0.080562
152.00,0.075370,0.100493,0.035173,-0.055271,0.025123,0.070345,-0.040099,0.025173,0.065320,0.100444,0.095419,0.070345
160.00,0.051666,0.068888,0.024111,-0.037889,0.017222,0.048222,-0.033778,0.014111,0.044777,0.071999,0.068555,0.048222
168.00,0.034852,0.046470,0.016264,-0.025558,0.011617,0.032529,-0.029294,0.006264,0.030205,0.051823,0.049499,0.032529
176.00,0.028462,0.037949,0.013282,-0.020872,0.009487,0.026564,-0.027590,0.003282,0.024667,0.044154,0.042257,0.026564
184.00,0.017048,0.022730,0.007956,-0.012502,0.005683,0.015911,-0.024546,-0.002044,0.014775,0.030457,0.029321,0.015911
192.00,0.005324,0.007098,0.002484,-0.003904,0.001775,0.004969,-0.021420,-0.007516,0.004614,0.016388,0.016033,0.004969
200.00,0.006743,0.008990,0.003147,-0.004945,0.002248,0.006293,-0.021798,-0.006853,0.005844,0.018091,0.017642,0.006293
208.00,0.009794,0.013058,0.004570,-0.007182,0.003265,0.009141,-0.022612,-0.005430,0.008488,0.021753,0.021100,0.009141
216.00,0.003217,0.004289,0.001501,-0.002359,0.001072,0.003003,-0.020858,-0.008499,0.002788,0.013860,0.013646,0.003003
224.00,0.000979,0.001306,0.000457,-0.000718,0.000326,0.000914,-0.020261,-0.009543,0.000849,0.011175,0.011110,0.000914
232.00,0.007931,0.010575,0.003701,-0.005816,0.002644,0.007402,-0.022115,-0.006299,0.006873,0.019517,0.018988,0.007402
240.00,0.007628,0.010170,0.003560,-0.005594,0.002543,0.007119,-0.022034,-0.006440,0.006611,0.019153,0.018645,0.007119
248.00,0.001047,0.001396,0.000489,-0.000768,0.000349,0.000977,-0.020279,-0.009511,0.000907,0.011256,0.011186,0.000977
256.00,0.003554,0.004739,0.001659,-0.002607,0.001185,0.003317,-0.020948,-0.008341,0.003080,0.014265,0.014028,0.003317
264.00,0.000840,0.001120,0.000392,-0.000616,0.000280,0.000784,-0.020224,-0.009608,0.000728,0.011008,0.010952,0.000784
272.00,-0.047406,-0.063207,-0.022123,0.034764,-0.015802,-0.044245,-0.007359,-0.032123,-0.041085,-0.046887,-0.043726,-0.044245
280.00,-0.108870,-0.145160,-0.050806,0.079838,-0.036290,-0.101612,0.009032,-0.060806,-0.094354,-0.120644,-0.113386,-0.101612
288.00,-0.007691,-0.010255,-0.003589,0.005640,-0.002564,-0.007179,-0.017949,-0.013589,-0.006666,0.000770,0.001283,-0.007179
296.00,0.334011,0.445349,0.155872,-0.244942,0.111337,0.311744,-0.109070,0.145872,0.289477,0.410814,0.388546,0.311744
304.00,0.704840,0.939786,0.328925,-0.516883,0.234947,0.657850,-0.207957,0.318925,0.610861,0.855808,0.808818,0.657850
